严重度,类型,文件,行号,命中,原文
高,异类品类残留,01 立项批准书E0\客户需求书E0.assets\sheets_md\04_功能规格部分.md,15,PC Link,| 9 | PC Link | ■No | □Yes 描述： |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | ... |
高,异类品类残留,04 设计输入E0\设计输入汇总表E0.assets\sheets_md\02_功能规格部分.md,17,PC Link,| 9 | PC Link | ■No | □Yes 描述： |  |  |  |  |
高,异类品类残留,04 设计输入E0\设计输入评审检查表.assets\sheets_md\01_设计输入列表.md,36,PC Link,| 9 | PC Link |  | 《红外体温计功能规格部分》9 | ■是     □否 | ■是     □否 | —— | ■是     □否 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  
高,异类品类残留,08 T1样机\01-DFMEA E0\结构类FMEA  E0.assets\sheets_md\02_严重度(S).md,4,血压计,|  | 无警告的严重危害 | 潜在失效模式影响血压计的安全运行和/或包含不符合法规情形，失效发生时无预警。会危及使用者。 | 10 |
高,异类品类残留,08 T1样机\01-DFMEA E0\结构类FMEA  E0.assets\sheets_md\02_严重度(S).md,4,血压,|  | 无警告的严重危害 | 潜在失效模式影响血压计的安全运行和/或包含不符合法规情形，失效发生时无预警。会危及使用者。 | 10 |
高,异类品类残留,08 T1样机\01-DFMEA E0\结构类FMEA  E0.assets\sheets_md\02_严重度(S).md,5,血压计,|  | 有警告的严重危害 | 潜在失效模式影响血压计的安全运行和/或包含不符合法规情形，失效发生时有预警。会危及使用者。 | 9 |
高,异类品类残留,08 T1样机\01-DFMEA E0\结构类FMEA  E0.assets\sheets_md\02_严重度(S).md,5,血压,|  | 有警告的严重危害 | 潜在失效模式影响血压计的安全运行和/或包含不符合法规情形，失效发生时有预警。会危及使用者。 | 9 |
高,异类品类残留,08 T1样机\01-DFMEA E0\结构类FMEA  E0.assets\sheets_md\02_严重度(S).md,6,血压计,|  | 很高 | 血压计无法运行，丧失基本功能，顾客很不满意。 | 8 |
高,异类品类残留,08 T1样机\01-DFMEA E0\结构类FMEA  E0.assets\sheets_md\02_严重度(S).md,6,血压,|  | 很高 | 血压计无法运行，丧失基本功能，顾客很不满意。 | 8 |
高,异类品类残留,08 T1样机\01-DFMEA E0\结构类FMEA  E0.assets\sheets_md\02_严重度(S).md,7,血压计,|  | 高 | 血压计能运行，但性能下降。顾客很不满意。 | 7 |
高,异类品类残留,08 T1样机\01-DFMEA E0\结构类FMEA  E0.assets\sheets_md\02_严重度(S).md,7,血压,|  | 高 | 血压计能运行，但性能下降。顾客很不满意。 | 7 |
高,异类品类残留,08 T1样机\01-DFMEA E0\结构类FMEA  E0.assets\sheets_md\02_严重度(S).md,8,血压计,|  | 中等 | 血压计能运行，但丧失部分功能。顾客不满意。 | 6 |
高,异类品类残留,08 T1样机\01-DFMEA E0\结构类FMEA  E0.assets\sheets_md\02_严重度(S).md,8,血压,|  | 中等 | 血压计能运行，但丧失部分功能。顾客不满意。 | 6 |
高,异类品类残留,08 T1样机\01-DFMEA E0\结构类FMEA  E0.assets\sheets_md\02_严重度(S).md,9,血压计,|  | 低 | 血压计能运行，但部分功能性能下降。顾客有些不满意。 | 5 |
高,异类品类残留,08 T1样机\01-DFMEA E0\结构类FMEA  E0.assets\sheets_md\02_严重度(S).md,9,血压,|  | 低 | 血压计能运行，但部分功能性能下降。顾客有些不满意。 | 5 |
高,异类品类残留,08 T1样机\04-设计验证计划E0\设计验证计划-功能规格部分E0.assets\sheets_md\02_设计验证_功能.md,20,PC Link,| 9 | PC Link | ■No | □Yes 描述： |  |  | ■不适用 □手板 □T1 □T2 □试产 | —— | —— |  |  |  |
高,异类品类残留,08 T1样机\04-设计验证计划E0\设计验证计划-通用要求和法规部分E0.assets\sheets_md\01_设计验证计划_通用.md,32,血压,| 20 | 电池<br> battery | □可充电电池：在充满电后，电池电量至少能进行   次血压测量，并且电池性能参数不变。<br>□电池：需要符合WERC认证<br>■无要求 | □手板■T1□设计确认 | 电池寿命测试报告 | 
高,异类品类残留,08 T1样机\10-PT9L标签审核表.assets\sheets_md\01_标签报告模板_-美.md,11,袖带,|  | A | NA | 说明书 | 彩包装 | 铭牌 | 外箱 | 袖带 |  |  |  |  |  |
高,异类品类残留,08 T1样机\13-设计验证报告E0\设计验证报告-功能和组件部分E0.assets\sheets_md\01_设计验证_功能.md,18,PC Link,| 9 | PC Link | ■No | □Yes 描述： |  |  | ■不适用 □手板 □T1 □T2 □试产 | —— | —— | —— | —— |  |  |
高,异类品类残留,11-设计确认\10-设计验证报告-设计确认阶段\设计验证报告-通用要求和法规部分.assets\sheets_md\02_设计验证_通用-确认阶段.md,31,血压,| 20 | 电池<br> battery | □可充电电池：在充满电后，电池电量至少能进行   次血压测量，并且电池性能参数不变。<br>□电池：需要符合WERC认证<br>■无要求 | □手板■T1□设计确认 | -- | -- | -
中,异类型号残留,02 开发计划E0\项目进度表.md,48,PT9C,"""title"": ""Microsoft Project - PT9C.mpp"","
中,异类型号残留,08 T1样机\15-BOM\机芯类组件清单PT9L-EBOM01 V1.0.assets\sheets_md\01_机芯类.md,37,PT9C,| 2 | PCB | K0118000084609A1106 | FR4 | PT9C-CNTP01 V1.0 |  |  | 1 | PCB | √ | C |  |  |  |  |  |  |  |  |  |  |  |  |  
中,异类型号残留,09-设计输出\PT9L-设计输出清单一\设计输出清单一\机芯类组件清单PT9L-EBOM01 V1.0.assets\sheets_md\01_机芯类.md,37,PT9C,| 2 | PCB | K0118000084609A1106 | FR4 | PT9C-CNTP01 V1.0 |  |  | 1 | PCB | √ | C |  |  |  |  |  |  |  |  |  |  |  |  |  
中,异类型号残留,09-设计输出\PT9L-设计输出清单一\设计输出清单一\设计输出清单一.assets\sheets_md\01_硬件、软件.md,17,PT9C,| 3 | 接口板PCB图 | Top  Layer 层 |  |  | PT9C-CNTP01 V1.0 | V1.0 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
中,异类型号残留,09-设计输出\设计输出清单二\图纸\FDIR-V14_散热器压块_REV01_0714.md,3,FDIR,source_file: FDIR-V14_散热器压块_REV01_0714.pdf
中,异类型号残留,09-设计输出\设计输出清单二\图纸\FDIR-V14_散热器压块_REV01_0714.md,4,FDIR,source_relative_path: 02_RnD_DHF/09-设计输出/设计输出清单二/图纸/FDIR-V14_散热器压块_REV01_0714.pdf
